library,download_month,country,system_name,python_version,downloads
plotly,2018-05,GB,Linux,3,364.42
plotly,2018-12,HK,Linux,3,920.61
plotly,2018-08,RU,Linux,3,856.692
plotly,2017-05,HK,Linux,3,19.0
plotly,2018-06,IN,Windows,3,844.61
plotly,2018-11,BR,Linux,3,756.945
plotly,2018-01,None,Windows,3,780.57
plotly,2018-11,GB,Darwin,3,755.623
plotly,2018-02,None,Windows,3,794.6640000000001
plotly,2018-11,ES,Linux,3,797.6360000000001
plotly,2018-01,CN,Windows,3,727.74
plotly,2017-12,None,Darwin,3,585.924
plotly,2018-02,GB,Linux,3,280.231
plotly,2017-10,None,Darwin,3,500.10299999999995
plotly,2017-09,IN,Linux,3,282.735
plotly,2017-11,None,Windows,3,723.2
plotly,2018-10,ES,Linux,3,633.9060000000001
plotly,2018-10,CN,Linux,3,613.1370000000001
plotly,2018-02,IN,Windows,3,720.564
plotly,2018-10,DE,Windows,3,809.951
plotly,2018-05,None,Windows,3,782.31
plotly,2018-03,CN,Windows,3,759.17
plotly,2018-08,CN,Linux,3,484.16
plotly,2017-11,None,Darwin,3,520.9540000000001
plotly,2018-07,GB,Linux,3,435.026
plotly,2018-02,None,Darwin,3,579.2479999999999
plotly,2017-08,None,Linux,3,449.82
plotly,2018-08,BR,Linux,3,755.898
plotly,2018-09,CN,Linux,3,469.04
plotly,2017-09,IN,Windows,3,497.0
plotly,2017-10,None,Windows,3,670.67
plotly,2017-04,HK,Linux,3,12.138
plotly,2017-07,JP,Linux,3,230.688
plotly,2017-06,JP,Linux,3,230.688
plotly,2018-09,BR,Linux,3,654.154
plotly,2018-03,None,Darwin,3,580.799
plotly,2017-11,IN,Windows,3,621.36
plotly,2017-10,None,Linux,3,472.689
plotly,2017-06,FR,Linux,3,296.7
plotly,2018-09,DE,Windows,3,774.818
plotly,2018-10,BR,Linux,3,696.6489999999999
plotly,2017-08,None,Darwin,3,435.356
plotly,2018-05,IN,Windows,3,743.75
plotly,2018-11,SE,Linux,3,457.92
plotly,2018-03,FR,Linux,3,613.416
plotly,2018-10,SE,Linux,3,363.18800000000005
plotly,2017-12,IN,Linux,3,435.13599999999997
plotly,2018-11,FR,Windows,3,754.6240000000001
plotly,2017-10,IN,Windows,3,537.248
plotly,2017-12,CN,Windows,3,632.008
plotly,2018-05,CN,Windows,3,674.0319999999999
plotly,2018-01,None,Darwin,3,495.666
plotly,2018-12,EU,Linux,3,349.24799999999993
plotly,2017-12,None,Linux,3,450.66
plotly,2017-10,IN,Linux,3,332.1
plotly,2018-05,KR,Linux,3,775.372
plotly,2018-11,IL,Linux,3,284.26199999999994
plotly,2018-11,CA,Windows,3,733.7159999999999
plotly,2018-11,RU,Windows,3,752.712
plotly,2018-11,NL,Windows,3,751.7639999999999
plotly,2018-04,CN,Windows,3,668.163
plotly,2018-09,PL,Linux,3,651.354
plotly,2017-10,HU,Linux,3,765.757
plotly,2018-04,None,Darwin,3,549.195
plotly,2018-07,None,Windows,3,700.077
plotly,2018-03,IN,Linux,3,460.76099999999997
plotly,2017-06,None,Darwin,3,355.089
plotly,2018-09,RU,Linux,3,696.8480000000001
plotly,2018-06,None,Windows,3,705.25
plotly,2017-07,FR,Linux,3,161.139
plotly,2018-02,IN,Linux,3,458.15
plotly,2018-11,CH,Linux,3,572.905
plotly,2018-09,SE,Linux,3,345.78
plotly,2018-08,DE,Windows,3,673.8480000000001
plotly,2018-09,CA,Windows,3,667.7360000000001
plotly,2017-07,IN,Linux,3,288.798
plotly,2017-11,CN,Windows,3,570.7599999999999
plotly,2017-04,None,Darwin,3,336.996
plotly,2018-10,GB,Darwin,3,617.067
plotly,2017-07,None,Darwin,3,365.631
plotly,2017-08,JP,Linux,3,278.24
plotly,2017-11,IN,Linux,3,379.16200000000003
plotly,2018-06,NL,Linux,3,661.7130000000001
plotly,2017-10,CN,Windows,3,513.6479999999999
plotly,2017-11,None,Linux,3,398.019
plotly,2018-03,None,Linux,3,434.214
plotly,2018-11,JP,Windows,3,700.336
plotly,2017-03,IN,Linux,3,163.35
plotly,2017-06,None,Linux,3,314.358
plotly,2017-09,None,Darwin,3,384.25
plotly,2018-10,FR,Windows,3,640.74
plotly,2018-01,NL,Linux,3,522.729
plotly,2018-10,CA,Windows,3,630.0
plotly,2017-06,IN,Linux,3,216.83599999999998
plotly,2018-09,GB,Darwin,3,583.731
plotly,2017-09,None,Windows,3,536.805
plotly,2017-03,None,Linux,3,304.308
plotly,2017-08,IN,Linux,3,243.915
plotly,2017-04,IN,Linux,3,139.194
plotly,2017-03,None,Darwin,3,297.224
plotly,2017-11,BR,Linux,3,144.279
plotly,2018-08,SE,Linux,3,386.976
plotly,2018-04,None,Linux,3,429.66
plotly,2018-04,CA,Linux,3,536.13
plotly,2017-06,None,Windows,3,478.86000000000007
plotly,2017-01,AU,Linux,3,120.75
plotly,2018-02,None,Linux,3,418.99199999999996
plotly,2018-01,None,Linux,3,404.05400000000003
plotly,2018-08,GB,Darwin,3,538.6709999999999
plotly,2018-12,RU,Linux,3,541.842
plotly,2017-08,IN,Windows,3,432.67499999999995
plotly,2018-05,None,Linux,3,450.91
plotly,2017-07,None,Windows,3,487.925
plotly,2018-12,CZ,Linux,3,640.805
plotly,2018-10,RU,Windows,3,639.1800000000001
plotly,2018-01,FR,Linux,3,346.17299999999994
plotly,2018-07,CN,Windows,3,588.294
plotly,2018-08,CH,Linux,3,415.70099999999996
plotly,2017-09,None,Linux,3,297.0
plotly,2018-12,CN,Linux,3,477.70799999999997
plotly,2018-05,None,Darwin,3,463.79200000000003
plotly,2018-10,NL,Windows,3,609.15
plotly,2017-01,None,Linux,3,159.82
plotly,2018-06,GB,Linux,3,275.1
plotly,2017-09,FR,Linux,3,228.852
plotly,2017-07,IN,Windows,3,387.28799999999995
plotly,2017-08,None,Windows,3,490.75
plotly,2017-11,FR,Linux,3,316.06300000000005
plotly,2018-09,ES,Linux,3,500.778
plotly,2018-01,IN,Linux,3,323.145
